Date Run,Date/Time Run,Date Run,Date/Time Run,Date Run.1,Date/Time Run.1,Date Run.1.1,Date/Time Run.1.1,Date Run.1.1.1,Date/Time Run.1.1.1,Date Run.1.1.1.1,Date/Time Run.1.1.1.1,Date Run.1.1.1.1.1,Date/Time Run.1.1.1.1.1,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,Maryland,2020-08-08,94581.0,3440.0,29463.0,1412.0,37.0,41.23,False,False,79634.0,3425.0,1788090.0,29.78,Success!
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,Massachusetts,2020-08-08,120711.0,8721.0,11232.0,721.0,9.3,8.27,True,False,,,510558.0,7.48,Success!
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,Michigan,2020-08-08,86804.0,6165.0,22840.0,2443.0,26.31,39.63,True,False,,,1375424.0,13.81,Success!
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,Minnesota,2020-08-08,60101.0,1648.0,12483.0,161.0,20.77,9.77,True,True,,,342186.0,6.19,Success!
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,Mississippi,2020-08-07,66646.0,1874.0,27945.0,918.0,41.93,48.99,True,True,,,1125834.0,37.67,Success!
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,Missouri,2020-08-07,57375.0,1301.0,11434.0,425.0,26.61,33.95,False,True,42963.0,1252.0,704896.0,11.57,Success!
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,Montana,2020-08-08,4889.0,75.0,24.0,,0.49,,True,True,,,4630.0,0.44,Success!
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,Nebraska,,,,,,,,False,False,,,90860.0,4.77,An error occurred. ... KeyError('PositiveCases')
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,Nevada,2020-08-08,55419.0,949.0,2838.0,82.0,8.06,12.52,False,False,35203.0,655.0,261123.0,8.93,Success!
2020-08-09,2020/08/09 19:01:29America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:07America/Los Angeles TZ,2020-08-09,2020/08/09 18:35:00America/Los Angeles TZ,2020-08-09,2020/08/09 18:33:16America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:40America/Los Angeles TZ,2020-08-09,2020/08/09 18:32:28America/Los Angeles TZ,2020-08-09,2020/08/09 18:29:09America/Los Angeles TZ,New Hampshire,2020-08-08,6818.0,419.0,342.0,9.0,5.78,2.18,False,False,5918.0,413.0,20516.0,1.53,Success!
